__CLEARPAGEFLAG include/linux/page-flags.h:153
__PAGEFLAG include/linux/page-flags.h:170
__PAGEFLAG include/linux/page-flags.h:171
__SETPAGEFLAG include/linux/page-flags.h:149
PAGEFLAG_FALSE include/linux/page-flags.h:175
SETPAGEFLAG_NOOP include/linux/page-flags.h:181
CLEARPAGEFLAG_NOOP include/linux/page-flags.h:184
__TESTCLEARFLAG include/linux/page-flags.h:165
CLEARPAGEFLAG include/linux/page-flags.h:145
VMALLOC_START arch/x86/include/asm/pgtable_32_types.h:33
VMALLOC_END arch/x86/include/asm/pgtable_32_types.h:44
__this_cpu_inc include/linux/percpu.h:593
this_cpu_inc include/linux/percpu.h:339
__this_cpu_add include/linux/percpu.h:585
this_cpu_add include/linux/percpu.h:331
PFN_PHYS include/linux/pfn.h:11
page_to_pfn include/asm-generic/memory_model.h:72
page_private include/linux/mm.h:249
max include/linux/kernel.h:566
max include/linux/kernel.h:567
max include/linux/kernel.h:568
max include/linux/kernel.h:569
max include/linux/kernel.h:570
scr_writew include/linux/vt_buffer.h:22
VGA_OUT16VAL include/video/vga.h:167
raw_spin_lock_irqsave include/linux/spinlock.h:212
raw_spin_lock_irqsave include/linux/spinlock.h:213
VGA_MAP_MEM arch/x86/include/asm/vga.h:15
scr_readw include/linux/vt_buffer.h:23
CON_IS_VISIBLE include/linux/console_struct.h:137
scr_memcpyw include/linux/vt_buffer.h:24
vga_writeb arch/x86/include/asm/vga.h:18
vga_readb arch/x86/include/asm/vga.h:17
scr_memmovew include/linux/vt_buffer.h:25
